exp_dir,data_path,mol_emb_dim,neg_sample,gd_type,lr,emb_dim,num_epochs,psearch,val_std,dropout,gd_deg,num_layers,batch_size,test_std,metric,val_method,num_bases,eval_batch_size,JK,params,num_workers,full_val,fold,reach_dist,val_mean,train_data_set,test_mean,l2,full_test
./saved_exp/2023-10-24 12:28:48.860547,./data,32,,VerGD,0.001,32,100,False,0.030550504633038926,0,False,3,16,0.030550504633038926,acc,,,16,last,"[['num_layers', 3]]",20,"{'val_loss': [0.8088644742965698, 0.8783205151557922, 0.9104472994804382, 0.9583495259284973, 0.9379081726074219, 0.9627589583396912, 0.8094385862350464, 0.8543292284011841, 0.7637197375297546, 0.7650379538536072], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",10,3,0.6466666666666667,csl,0.6466666666666667,0,"{'test_loss': [0.8088644742965698, 0.8783205151557922, 0.9104472994804382, 0.9583495259284973, 0.9379081726074219, 0.9627589583396912, 0.8094385862350464, 0.8543292284011841, 0.7637197375297546, 0.7650379538536072], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}"
./saved_exp/2023-10-24 18:04:04.265579,./data,32,,VerGD,0.001,32,100,False,0.030550504633038926,0,True,3,16,0.030550504633038926,acc,,,16,last,"[['num_layers', 3]]",20,"{'val_loss': [0.7604045271873474, 0.7706132531166077, 0.7637270092964172, 0.9171726107597351, 0.8755623698234558, 0.796712338924408, 0.7992674112319946, 0.7541977167129517, 0.788969874382019, 0.7944852113723755], 'acc': [0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",10,3,0.6466666666666667,csl,0.6466666666666667,0,"{'test_loss': [0.7604045271873474, 0.7706132531166077, 0.7637270092964172, 0.9171726107597351, 0.8755623698234558, 0.796712338924408, 0.7992674112319946, 0.7541977167129517, 0.788969874382019, 0.7944852113723755], 'acc': [0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}"
./saved_exp/2023-10-09 22:56:00.454044,./data,32,,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,apr,,,64,last,"[['num_layers', 5]]",20,"{'val_loss': 0.0509207658469677, 'auc': 0.8278960828821711, 'apr': 0.1711971002077592}",10,3,0.1711971002077592,ogbg-molpcba,0.150944637950692,0,"{'test_loss': 0.053422920405864716, 'auc': 0.8221065677665286, 'apr': 0.150944637950692}"
./saved_exp/2023-10-24 18:04:04.233064,./data,32,,VerGD,0.0001,32,100,False,0.0,0,True,3,64,0.0038188130791298527,acc,,,64,last,"[['num_layers', 3]]",20,"{'val_loss': [0.016727259382605553, 0.05902700498700142, 0.04933138191699982, 0.04271869361400604, 0.05528205633163452, 0.04059024900197983, 0.010560226626694202, 0.032170530408620834, 0.01372447982430458, 0.017093224450945854], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",10,3,1.0,exp,0.9974999999999999,0,"{'test_loss': [0.015554588288068771, 0.05619450658559799, 0.04223118722438812, 0.04476115107536316, 0.06261246651411057, 0.032988738268613815, 0.008458167314529419, 0.02939409390091896, 0.010679332539439201, 0.015344840474426746], 'acc': [1.0, 1.0, 0.9916666666666667, 1.0, 0.9916666666666667, 0.9916666666666667, 1.0, 1.0, 1.0, 1.0]}"
./saved_exp/2023-10-24 18:04:04.278541,./data,32,,VerGD,0.001,32,100,False,5.551115123125783e-17,0,True,2,16,5.551115123125783e-17,acc,,,16,last,"[['num_layers', 2]]",20,"{'val_loss': [1.6969256401062012, 1.6789658069610596, 1.8960163593292236, 1.919477939605713, 1.7039214372634888, 1.71349036693573, 2.061330795288086, 1.6959444284439087, 1.7204737663269043, 1.7172203063964844], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}",10,3,0.33333333333333337,csl,0.33333333333333337,0,"{'test_loss': [1.6969256401062012, 1.6789658069610596, 1.8960163593292236, 1.919477939605713, 1.7039214372634888, 1.71349036693573, 2.0613162517547607, 1.6959444284439087, 1.7204737663269043, 1.7172203063964844], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
./saved_exp/2023-10-09 23:28:46.380375,./data,32,,HorGD,0.0001,32,200,True,0.038461538461538436,0,False,2,64,0.0357142857142857,acc,,,64,last,"[['num_layers', 2]]",20,"{'val_loss': [0.6763983964920044, 0.5906780958175659], 'acc': [0.7692307692307693, 0.8461538461538461]}",10,3,0.8076923076923077,brazil_airport,0.6785714285714286,0,"{'val_loss': [0.9295853972434998, 0.7685920000076294], 'acc': [0.6428571428571429, 0.7142857142857143]}"
./saved_exp/2023-10-13 21:05:55.480775,./data,32,,VerGD,0.0001,32,200,True,0.0,0,False,2,64,0.0,acc,,,64,last,"[['num_layers', 2], ['train_data_set', 'brazil_airport'], ['gd_deg', True]]",20,"{'val_loss': [0.6258538365364075, 0.5986773371696472], 'acc': [0.9230769230769231, 0.9230769230769231]}",10,3,0.9230769230769231,brazil_airport,0.7857142857142857,0,"{'val_loss': [0.7594371438026428, 0.9001460671424866], 'acc': [0.7857142857142857, 0.7857142857142857]}"
./saved_exp/2023-10-14 01:11:38.025081,./data,32,,VerGD,0.001,32,100,True,0.0,0,False,4,16,0.0,acc,,,16,last,"[['num_layers', 4], ['gd_deg', True]]",20,"{'val_loss': [0.014736917801201344, 0.06995351612567902, 0.03919830545783043, 0.06741221249103546, 0.07691217958927155, 0.03694792836904526, 0.052250780165195465, 0.026860613375902176, 0.22360964119434357, 0.06996655464172363], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",10,3,1.0,csl,1.0,0,"{'test_loss': [0.014736917801201344, 0.06995351612567902, 0.03919830545783043, 0.06741221249103546, 0.07691216468811035, 0.03694792836904526, 0.052251603454351425, 0.026860613375902176, 0.22360964119434357, 0.06996655464172363], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
./saved_exp/2023-10-24 14:38:27.954591,./data,32,,HorGD,0.0001,32,100,False,0.0,0,False,3,64,0.005335936864527384,acc,,,64,last,"[['num_layers', 3]]",20,"{'val_loss': [0.04409823566675186, 0.06171756610274315, 0.0596894696354866, 0.04616592824459076, 0.04603082314133644, 0.04348696023225784, 0.020218007266521454, 0.014886218123137951, 0.026078756898641586, 0.0685282051563263], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",10,3,1.0,exp,0.9974999999999999,0,"{'test_loss': [0.04150359332561493, 0.0646764263510704, 0.059009432792663574, 0.03149481117725372, 0.0385478176176548, 0.04247851297259331, 0.0197104774415493, 0.01186913251876831, 0.021023739129304886, 0.059568651020526886], 'acc': [1.0, 0.9833333333333333, 0.9916666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
./saved_exp/2023-10-14 07:20:12.709846,./data,32,,VerGD,0.0001,32,100,True,0.0,0,False,4,64,0.0,acc,,,64,last,"[['num_layers', 3], ['gd_deg', True]]",20,"{'val_loss': [0.06828784942626953, 0.05090803653001785, 0.01663559302687645, 0.03359557315707207, 0.0709826648235321, 0.052123233675956726, 0.03535105288028717, 0.017636489123106003, 0.029868241399526596, 0.026705510914325714], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",10,3,1.0,exp,1.0,0,"{'test_loss': [0.05698256939649582, 0.04982006549835205, 0.016727782785892487, 0.032967161387205124, 0.05397863686084747, 0.04540450870990753, 0.03727518022060394, 0.011051305569708347, 0.020174948498606682, 0.024266667664051056], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
./saved_exp/2023-10-13 21:51:15.547203,./data,32,,HorGD,0.0001,32,100,True,0.0,0,False,4,64,0.007637626158259738,acc,,,64,last,"[['num_layers', 3]]",20,"{'val_loss': [0.016975058242678642, 0.023437561467289925, 0.048805058002471924, 0.037277474999427795, 0.027874212712049484, 0.059787943959236145, 0.05487167090177536, 0.05475179851055145, 0.041076090186834335, 0.017082542181015015], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",10,3,1.0,exp,0.9966666666666667,0,"{'test_loss': [0.017898622900247574, 0.020683269947767258, 0.04411514103412628, 0.04813661426305771, 0.024572283029556274, 0.05301171913743019, 0.0959692969918251, 0.0522192120552063, 0.039854422211647034, 0.017943479120731354], 'acc': [1.0, 1.0, 1.0, 0.9916666666666667, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0]}"
./saved_exp/2023-10-24 14:35:09.320424,./data,32,1,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,h10,ind,4,64,last,"[['num_layers', 2]]",20,"{'val_loss': 0.6104112863540649, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7365819209039548, 'mrr': 0.8682909604519774}",10,3,1.0,fb237_v4,1.0,0,"{'val_loss': 0.6012147665023804, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.723314606741573, 'mrr': 0.8616573033707865}"
./saved_exp/2023-10-24 13:11:44.964564,./data,32,,VerGD,0.0001,32,100,False,0.022110831935702676,0,False,2,64,0.037831864876053896,acc,,,64,last,"[['num_layers', 2]]",20,"{'val_loss': [0.7433435916900635, 0.8116496801376343, 0.6957978010177612, 0.7081718444824219, 0.7394983768463135, 0.7792084813117981, 0.7261748313903809, 0.7341328859329224, 0.7150759696960449, 0.7757002115249634], 'acc': [0.48333333333333334, 0.5, 0.5083333333333333, 0.48333333333333334, 0.5083333333333333, 0.5, 0.525, 0.44166666666666665, 0.5166666666666667, 0.5]}",10,3,0.4966666666666667,exp,0.49416666666666664,0,"{'test_loss': [0.7489845156669617, 0.7796519994735718, 0.6976685523986816, 0.696265459060669, 0.7602412104606628, 0.7780648469924927, 0.7732009887695312, 0.7162231206893921, 0.697198212146759, 0.79477858543396], 'acc': [0.48333333333333334, 0.525, 0.4666666666666667, 0.5333333333333333, 0.5, 0.5, 0.4083333333333333, 0.55, 0.475, 0.5]}"
./saved_exp/2023-10-24 11:50:14.526928,./data,32,,VerGD,0.001,32,100,False,0.019999999999999997,0,False,2,16,0.019999999999999997,acc,,,16,last,"[['num_layers', 2]]",20,"{'val_loss': [1.7043908834457397, 1.7649264335632324, 1.6765559911727905, 1.7444525957107544, 1.9259694814682007, 1.6962286233901978, 1.7032610177993774, 1.674918293952942, 1.801300287246704, 1.6991456747055054], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.26666666666666666, 0.3333333333333333]}",10,3,0.32666666666666666,csl,0.32666666666666666,0,"{'test_loss': [1.7043908834457397, 1.7649264335632324, 1.6765559911727905, 1.7444525957107544, 1.9259694814682007, 1.6962286233901978, 1.7032610177993774, 1.674913763999939, 1.801300287246704, 1.6991456747055054], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.26666666666666666, 0.3333333333333333]}"
./saved_exp/2023-10-24 14:35:09.361442,./data,32,1,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,h10,ind,4,64,last,"[['num_layers', 2]]",20,"{'val_loss': 0.5277531147003174, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7313432835820896, 'mrr': 0.8656716417910447}",10,3,1.0,fb237_v2,1.0,0,"{'val_loss': 0.5326396226882935, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7384937238493724, 'mrr': 0.8692468619246861}"
./saved_exp/2023-10-13 21:05:55.479942,./data,32,,HorGD,0.001,32,100,False,0.0,0,False,4,16,0.0,acc,,,16,last,"[['num_layers', 4]]",20,"{'val_loss': [0.01100462768226862, 0.019942987710237503, 0.15675124526023865, 0.0005883491248823702, 0.09276716411113739, 0.03737565129995346, 0.0012151784030720592, 0.005395026411861181, 0.11515811830759048, 0.08568152040243149], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",10,3,1.0,csl,1.0,0,"{'test_loss': [0.01100462768226862, 0.019942987710237503, 0.15675124526023865, 0.0005883491248823702, 0.09276716411113739, 0.03737565129995346, 0.0012151784030720592, 0.00539504224434495, 0.11515811830759048, 0.08568152040243149], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
./saved_exp/2023-10-24 14:38:27.702728,./data,32,,HorGD,0.001,32,100,False,0.03265986323710904,0,False,3,16,0.03265986323710904,acc,,,16,last,"[['num_layers', 3]]",20,"{'val_loss': [0.8206022381782532, 0.7771402597427368, 0.9192054271697998, 0.7508403658866882, 1.0087248086929321, 0.786849856376648, 0.7589970827102661, 0.8316071033477783, 0.7965988516807556, 0.7568656802177429], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",10,3,0.64,csl,0.64,0,"{'test_loss': [0.8206022381782532, 0.7771402597427368, 0.9192054271697998, 0.7508403658866882, 1.0087248086929321, 0.786849856376648, 0.7589970827102661, 0.8316071033477783, 0.7965988516807556, 0.7568656802177429], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}"
./saved_exp/2023-10-24 14:35:09.320429,./data,32,1,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,h10,ind,4,64,last,"[['num_layers', 2]]",20,"{'val_loss': 0.5884517431259155, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7281553398058253, 'mrr': 0.8640776699029126}",10,3,1.0,fb237_v1,1.0,0,"{'val_loss': 0.5854321122169495, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7317073170731707, 'mrr': 0.8658536585365854}"
./saved_exp/2023-10-24 18:04:04.228592,./data,32,,VerGD,0.0001,32,100,False,0.03096817362677008,0,True,2,64,0.039095680352466335,acc,,,64,last,"[['num_layers', 2]]",20,"{'val_loss': [0.7168532609939575, 0.704243540763855, 0.738618791103363, 0.7264055013656616, 0.7033275365829468, 0.6880697011947632, 0.7006582617759705, 0.6869439482688904, 0.7845708131790161, 0.7022563219070435], 'acc': [0.5166666666666667, 0.5583333333333333, 0.5, 0.5083333333333333, 0.5166666666666667, 0.5916666666666667, 0.475, 0.5416666666666666, 0.5416666666666666, 0.525]}",10,3,0.5275000000000001,exp,0.4808333333333333,0,"{'test_loss': [0.739037036895752, 0.7513824105262756, 0.7177242040634155, 0.7263494729995728, 0.6987308263778687, 0.7151974439620972, 0.6921331286430359, 0.7092370390892029, 0.8446646928787231, 0.7141426801681519], 'acc': [0.475, 0.4083333333333333, 0.5, 0.5166666666666667, 0.5166666666666667, 0.43333333333333335, 0.5416666666666666, 0.45, 0.475, 0.49166666666666664]}"
./saved_exp/2023-10-09 22:48:04.119139,./data,32,,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,auc,,,64,last,"[['num_layers', 5]]",20,"{'val_loss': 0.08334807306528091, 'auc': 0.7605299578679207, 'apr': 0.263498479370642}",10,3,0.7605299578679207,ogbg-molhiv,0.7085845613086387,0,"{'test_loss': 0.11689463257789612, 'auc': 0.7085845613086387, 'apr': 0.2959624057312447}"
./saved_exp/2023-10-09 22:57:39.013050,./data,32,,HorGD,0.001,32,100,True,0.0,0,False,2,4096,0.0,h50,,,512,last,"[['num_layers', 2]]",32,"{'val_loss': 0.6713752746582031, 'apr': 0.9051679084137221, 'auc': 0.9000618797017509, 'h50': 0.6463284734704746}",10,3,0.6463284734704746,ogbl-collab,0.5398130760430832,0,"{'val_loss': 0.7151784896850586, 'apr': 0.8607607551855531, 'auc': 0.8815270104038507, 'h50': 0.5398130760430832}"
./saved_exp/2023-10-24 14:35:09.320639,./data,32,1,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,h10,ind,4,64,last,"[['num_layers', 2]]",20,"{'val_loss': 0.6440577507019043, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7240184757505773, 'mrr': 0.8620092378752887}",10,3,1.0,fb237_v3,1.0,0,"{'val_loss': 0.6364914178848267, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7132947976878613, 'mrr': 0.8566473988439306}"
